dt,neg,neu,pos,compound,volume
"2021-11-30 02:19:01",0.0277831722,0.8333106637,0.1389029175,0.3115391731,309
"2021-11-30 02:20:00",0.0310887583,0.8454733491,0.1234674528,0.2552925944,338
"2021-11-30 02:21:00",0.0297984090,0.8414668441,0.1287427098,0.2537740171,377
"2021-11-30 02:22:00",0.0327578112,0.8297291398,0.1375442743,0.2817898393,384
"2021-11-30 02:23:00",0.0357117355,0.8489770293,0.1153316349,0.2268890291,392
"2021-11-30 02:24:00",0.0367390178,0.8525064588,0.1107751951,0.2081560791,387
"2021-11-30 02:25:00",0.0314555876,0.8493180275,0.1192435548,0.2524544299,349
"2021-11-30 02:26:00",0.0319821425,0.8334847093,0.1345586777,0.2472326458,392
"2021-11-30 02:27:00",0.0315476842,0.8385640383,0.1299209744,0.2529081702,367
"2021-11-30 02:28:00",0.0228776596,0.8377792835,0.1393430829,0.3223058581,376
"2021-11-30 02:29:00",0.0295482092,0.8500881791,0.1203526184,0.2468239665,363
"2021-11-30 02:30:00",0.0296060611,0.8544520140,0.1159545481,0.2587504983,396
"2021-11-30 02:31:00",0.0225935820,0.8395454288,0.1378556192,0.3309652507,374
"2021-11-30 02:32:00",0.0322776102,0.8475880623,0.1201313436,0.2640892565,335
"2021-11-30 02:33:00",0.0341033526,0.8366480470,0.1292374283,0.2902846336,358
"2021-11-30 02:34:00",0.0321657769,0.8523315787,0.1154919788,0.2438056171,374
"2021-11-30 02:35:00",0.0394840576,0.8332145214,0.1272782683,0.2818626165,345
"2021-11-30 02:36:00",0.0398726277,0.8259268403,0.1342032552,0.2828493118,369
"2021-11-30 02:37:00",0.0327414759,0.8297670484,0.1374801099,0.2891823947,352
"2021-11-30 02:38:00",0.0376122445,0.8333148956,0.1290816367,0.2491023391,343
"2021-11-30 02:39:00",0.0316069163,0.8387798667,0.1296100616,0.2703811228,318
"2021-11-30 02:40:00",0.0289154071,0.8356736898,0.1354501545,0.3135199249,331
"2021-11-30 02:41:00",0.0343608558,0.8127461672,0.1528960317,0.3471896052,327
"2021-11-30 02:42:00",0.0313243233,0.8402081132,0.1284702718,0.2738378346,370
"2021-11-30 02:43:00",0.0363937691,0.8343002796,0.1293144524,0.2716286182,353
"2021-11-30 02:44:00",0.0320313387,0.8306210637,0.1373561323,0.2920612395,351
"2021-11-30 02:45:00",0.0422182754,0.8330025673,0.1247690320,0.2500560880,394
"2021-11-30 02:46:00",0.0430308469,0.8178688884,0.1391105354,0.2845668495,389
"2021-11-30 02:47:01",0.0343982801,0.8227536082,0.1428366750,0.3227613270,349
"2021-11-30 02:48:00",0.0382909104,0.8454787731,0.1162121221,0.2282187939,330
"2021-11-30 02:49:00",0.0325454548,0.8469688296,0.1204857156,0.2674488425,385
"2021-11-30 02:50:00",0.0353759415,0.8407017589,0.1239072680,0.2787543833,399
"2021-11-30 02:51:00",0.0291503072,0.8364877105,0.1343834400,0.2997720838,326
"2021-11-30 02:52:00",0.0329912528,0.8230350018,0.1439533532,0.3033081591,343
"2021-11-30 02:53:00",0.0275808387,0.8497365117,0.1226826310,0.2637263536,334
"2021-11-30 02:54:00",0.0323537998,0.8229736686,0.1446754336,0.3294918239,342
"2021-11-30 02:55:00",0.0331048593,0.8301509023,0.1367442459,0.3221107423,391
"2021-11-30 02:56:00",0.0281787887,0.8341848254,0.1376302987,0.3005272746,330
"2021-11-30 02:57:00",0.0253365859,0.8416122198,0.1330634207,0.2968246341,410
"2021-11-30 02:58:00",0.0320030972,0.8267337680,0.1412848234,0.2712213695,323
"2021-11-30 02:59:00",0.0354881659,0.8390088677,0.1255207062,0.2525289953,338
"2021-11-30 03:00:00",0.0317374505,0.8382335901,0.1300482601,0.3234453797,518
"2021-11-30 03:01:00",0.0358700268,0.8377639055,0.1263713539,0.2655379176,377
"2021-11-30 03:02:00",0.0327131562,0.8354973793,0.1317842156,0.2766347229,380
"2021-11-30 03:03:00",0.0301230364,0.8358769417,0.1340104640,0.2870431840,382
"2021-11-30 03:04:00",0.0281752814,0.8490449190,0.1227730364,0.2794231474,445
"2021-11-30 03:05:00",0.0301275514,0.8538112044,0.1160510182,0.2532660663,392
"2021-11-30 03:06:00",0.0316317119,0.8595473170,0.1088388711,0.2121068984,391
"2021-11-30 03:07:00",0.0310462732,0.8395295739,0.1294267327,0.2879028320,389
"2021-11-30 03:08:00",0.0293840002,0.8464480042,0.1241839975,0.2515271902,375
"2021-11-30 03:09:00",0.0585657358,0.8173306584,0.1240856573,0.1859227121,502
"2021-11-30 03:10:00",0.0534840897,0.8324000239,0.1141159087,0.2212329507,440
"2021-11-30 03:11:00",0.0201810095,0.8563709259,0.1234569699,0.3230688572,337
"2021-11-30 03:12:00",0.0292493142,0.8295589089,0.1411862969,0.3091093004,365
"2021-11-30 03:13:01",0.0283768121,0.8535622954,0.1180521771,0.2501930296,345
"2021-11-30 03:14:00",0.0289088152,0.8507294655,0.1203677803,0.2660392225,329
"2021-11-30 03:15:00",0.0225505624,0.8520449400,0.1254044920,0.3028396070,356
"2021-11-30 03:16:00",0.0326196477,0.8309697509,0.1364156157,0.3033246994,397
"2021-11-30 03:17:00",0.0280776396,0.8266087174,0.1452888250,0.3360779583,322
"2021-11-30 03:18:00",0.0320924856,0.8330780268,0.1348236948,0.3049433529,346
"2021-11-30 03:19:00",0.0343303308,0.8333423138,0.1323032975,0.2747786641,333
"2021-11-30 03:20:00",0.0334054045,0.8425525427,0.1240300313,0.2403939962,333
"2021-11-30 03:21:00",0.0300357137,0.8393434286,0.1306181252,0.2723200619,364
"2021-11-30 03:22:00",0.0229856726,0.8382636309,0.1387421191,0.2945197821,349
"2021-11-30 03:23:00",0.0275963545,0.8332421780,0.1391588598,0.2984260321,384
"2021-11-30 03:24:00",0.0335434191,0.8503669500,0.1161036417,0.2526876628,357
"2021-11-30 03:25:00",0.0387891904,0.8355783820,0.1256432384,0.2449135184,370
"2021-11-30 03:26:00",0.0363085382,0.8410798907,0.1226143241,0.2125019282,363
"2021-11-30 03:27:00",0.0361836739,0.8501020670,0.1137201190,0.2185752243,343
"2021-11-30 03:28:00",0.0422676466,0.8483999968,0.1093470603,0.1938702911,340
"2021-11-30 03:29:00",0.0373526327,0.8258105516,0.1368184239,0.2809131444,380
"2021-11-30 03:30:00",0.0223273542,0.8453206420,0.1323565096,0.3275410235,446
"2021-11-30 03:31:00",0.0259603336,0.8415135741,0.1325344443,0.3350000083,479
"2021-11-30 03:32:00",0.0249302331,0.8388023376,0.1362627894,0.3374467492,430
"2021-11-30 03:33:00",0.0245193802,0.8479018211,0.1275891513,0.3247023225,387
"2021-11-30 03:34:00",0.0305888318,0.8396370411,0.1297715753,0.2837875783,394
"2021-11-30 03:35:00",0.0235485435,0.8449490070,0.1315024346,0.3161334991,412
"2021-11-30 03:36:00",0.0304509811,0.8423553705,0.1271936297,0.2902325988,408
"2021-11-30 03:37:00",0.0332707316,0.8378024101,0.1289170682,0.2744741440,410
"2021-11-30 03:38:01",0.0363123305,0.8334822059,0.1301972568,0.2779862881,365
"2021-11-30 03:39:00",0.0284425430,0.8195697069,0.1519999951,0.3355388641,409
"2021-11-30 03:40:00",0.0287316460,0.8272303939,0.1440303773,0.3034071028,395
"2021-11-30 03:41:01",0.0266284924,0.8144022226,0.1589636803,0.3523904979,358
"2021-11-30 03:42:00",0.0283579230,0.8340464234,0.1376065612,0.2980158329,366
"2021-11-30 03:43:00",0.0280997232,0.8443573117,0.1275540143,0.2862509787,361
"2021-11-30 03:44:00",0.0260448437,0.8456076384,0.1283609867,0.2718085349,446
"2021-11-30 03:45:00",0.0344694369,0.8358386159,0.1297066063,0.2784400880,409
