dt,block_hash,block_interval,pending_tx_count,day_tx_count,avg_tx_per_block,hashrate,block_height
"2021-11-30 11:59:55",0000000000000000000562b6889007135501527331752c2de87d29008598b5df,567.1892089844,6132,314278,970.6309814453,711978,2147483647
"2021-11-30 12:15:19",0000000000000000000867b0eb97bb51b407c7cddd9d2be51b34d9a74daeaba3,569.4094238281,9154,317998,970.6372070312,711979,2147483647
"2021-11-30 12:44:12",0000000000000000000a613706528de4770cd34e6fda9e2557fee96531297f42,574.5917968750,10974,311833,970.6401977539,711980,2147483647
"2021-11-30 13:06:41",00000000000000000008d76194d89c13245900dcf06ce3800ef8b3bd2cdbd9dc,591.2377929688,12057,298410,970.6436767578,711981,2147483647
"2021-11-30 13:10:39",0000000000000000000b06f049e2e5297a89ac73da193da5d38a07c078530e13,596.5000000000,12057,301510,970.6467285156,711982,2147483647
"2021-11-30 13:14:11",0000000000000000000a87a3666ec83a40f2b2dc8fcfed1cd322064088b00e04,596.5000000000,12057,301510,970.6467285156,711983,2147483647
"2021-11-30 13:16:55",0000000000000000000236ea987a49460886e4a002b1674d2ab87eeaeb1eaded,602.1549072266,12057,296854,970.6467285156,711984,2147483647
"2021-11-30 13:27:08",0000000000000000000bb5330ae3fb01a4d795c0201f639de13913f5ec6f5650,602.0562744141,12057,300392,970.6552124023,711985,2147483647
"2021-11-30 13:36:10",000000000000000000079217c396c4933e01fb992b721b1cc580b49b54a82521,593.6572875977,16460,304274,970.6608276367,711987,2147483647
"2021-11-30 14:03:32",0000000000000000000408e1adb7bec32de6645ea300a3297bd7860f8dfa60fd,596.4042968750,12211,297551,970.6627807617,711988,2147483647
"2021-11-30 14:38:10",000000000000000000004e5bb4c8d8dda1f558dd689f5983021a69dd9bb518ef,609.5435180664,12086,293616,970.6658935547,711989,2147483647
"2021-11-30 14:47:40",000000000000000000032b73c5d5ddc9b37d556810b214ba4a4f282824ea7d66,624.1386718750,12086,292080,970.6682128906,711990,2147483647
"2021-11-30 14:49:38",0000000000000000000562991c31e45ea0eb72b5b661f560b8f46988e7b302cb,624.1386718750,12086,292080,970.6682128906,711991,2147483647
"2021-11-30 15:01:45",00000000000000000005e1a426bf9edee64528fa6c37c5525e793ebfe317794c,628.0515136719,16385,295166,970.6748046875,711992,2147483647
"2021-11-30 15:55:36",0000000000000000000bbbcb6b8ece5473cb5749c8bb4485510212c2ba87ffc8,642.5504150391,15371,281831,970.6776123047,711993,2147483647
"2021-11-30 16:25:45",0000000000000000000a66b98ab06ff134047ccc7acee8dba4593b05bfa43b7f,657.2440795898,21502,278710,970.6801757812,711994,2147483647
"2021-11-30 16:28:55",0000000000000000000758c282bb39df697c41be504f1c7dbb49ce469a47600c,666.2421875000,21502,281424,970.6826171875,711995,2147483647
"2021-11-30 16:52:43",00000000000000000002ed35ee5d78f142a933a72d733272848768fc609c713d,656.9218750000,24892,281993,970.6860961914,711996,2147483647
"2021-11-30 16:56:19",0000000000000000000643aa8a188f20fb4217f50e77a418da429cf4270eb628,656.9218750000,24892,281993,970.6860961914,711997,2147483647
"2021-11-30 16:59:35",000000000000000000074501e125b4a20f0795aa8850d461eccf75a79d0ff5a9,659.4614868164,24892,285563,970.6926269531,711998,2147483647
