dt,neg,neu,pos,compound,volume
"2021-12-01 18:00:00",0.0313023254,0.8566469550,0.1120338291,0.2491555959,473
"2021-12-01 17:59:01",0.0295422878,0.8413233757,0.1291343272,0.2742492557,402
"2021-12-01 17:58:01",0.0313649997,0.8380674720,0.1305525005,0.2736380100,400
"2021-12-01 17:57:00",0.0360404477,0.8329707980,0.1309887618,0.2573044896,445
"2021-12-01 17:56:01",0.0311132073,0.8395589590,0.1293136775,0.2785709798,424
"2021-12-01 17:55:01",0.0285736956,0.8439432979,0.1274852604,0.2999580503,441
"2021-12-01 17:54:01",0.0319878943,0.8322421312,0.1357651353,0.3147614896,413
"2021-12-01 17:53:00",0.0318005048,0.8466540575,0.1215479821,0.2622995079,396
"2021-12-01 17:52:01",0.0331957676,0.8481772542,0.1186296269,0.2534965575,378
"2021-12-01 17:51:00",0.0257935785,0.8512729406,0.1229426637,0.2956935763,436
"2021-12-01 17:50:00",0.0357700251,0.8528940678,0.1113514230,0.2421005219,387
"2021-12-01 17:49:00",0.0344051272,0.8532410264,0.1123512834,0.2336505055,390
"2021-12-01 17:48:01",0.0321051404,0.8467500210,0.1211471930,0.2624100447,428
"2021-12-01 17:47:00",0.0314734429,0.8423625827,0.1261709034,0.2858561277,433
"2021-12-01 17:46:01",0.0356746018,0.8462566137,0.1180634946,0.2664243281,378
"2021-12-01 17:45:00",0.0328873545,0.8444275856,0.1226827577,0.2704848349,435
"2021-12-01 17:44:01",0.0397189707,0.8476135731,0.1126580760,0.2293082029,427
"2021-12-01 17:43:01",0.0375413708,0.8525981307,0.1098534316,0.1973160803,423
"2021-12-01 17:42:00",0.0276749991,0.8774977326,0.0948272720,0.1998138577,440
"2021-12-01 17:41:00",0.0316824019,0.8719549179,0.0963583663,0.1914197356,466
"2021-12-01 17:40:00",0.0385753103,0.8490049243,0.1124222204,0.2042743266,405
"2021-12-01 17:39:00",0.0332291685,0.8444479108,0.1223307326,0.2388484329,384
"2021-12-01 17:38:00",0.0336467884,0.8596926332,0.1066605523,0.2267614752,436
"2021-12-01 17:37:00",0.0409900732,0.8373746872,0.1216501221,0.2186987549,403
"2021-12-01 17:36:00",0.0361088887,0.8430622220,0.1208266690,0.2520144582,450
"2021-12-01 17:35:01",0.0324730687,0.8597283363,0.1078243554,0.2113379389,427
"2021-12-01 17:34:00",0.0418045446,0.8456681967,0.1125272736,0.2134040892,440
"2021-12-01 17:33:00",0.0402372517,0.8437738419,0.1159866974,0.2210046500,451
"2021-12-01 17:32:01",0.0358737633,0.8483415842,0.1157673299,0.2307250053,404
"2021-12-01 17:31:00",0.0444199480,0.8533333540,0.1022440940,0.1849540621,381
"2021-12-01 17:30:00",0.0402647071,0.8459117413,0.1138371006,0.2233282775,442
"2021-12-01 17:29:01",0.0327780470,0.8526463509,0.1146048754,0.2467653602,410
"2021-12-01 17:28:00",0.0381437764,0.8517961502,0.1100600883,0.2039836943,466
"2021-12-01 17:27:00",0.0365138873,0.8440774083,0.1193948388,0.2391750067,504
"2021-12-01 17:26:01",0.0341463424,0.8491463661,0.1167073175,0.2626073062,451
"2021-12-01 17:25:00",0.0333100446,0.8547489047,0.1119475961,0.2382462919,458
"2021-12-01 17:24:00",0.0384652764,0.8329722285,0.1285532415,0.2441027761,432
"2021-12-01 17:23:00",0.0302299354,0.8585336208,0.1112451181,0.2263830751,461
"2021-12-01 17:22:00",0.0431547612,0.8426944613,0.1141567454,0.2253523767,504
"2021-12-01 17:21:00",0.0342816897,0.8493300080,0.1163742468,0.2386348099,497
"2021-12-01 17:20:00",0.0391297862,0.8399915099,0.1208617017,0.2392068058,470
"2021-12-01 17:19:00",0.0335845500,0.8508142233,0.1155803725,0.2253707796,479
"2021-12-01 17:18:00",0.0347721502,0.8589894772,0.1062194109,0.2022582293,474
"2021-12-01 17:17:00",0.0341862962,0.8639357686,0.1018479690,0.1904569566,467
"2021-12-01 17:16:00",0.0337037854,0.8558663726,0.1104432046,0.2202670425,449
"2021-12-01 17:15:00",0.0336277671,0.8559678197,0.1104124784,0.2085066438,497
"2021-12-01 17:14:00",0.0392531641,0.8550633192,0.1057088599,0.1894789934,395
"2021-12-01 17:13:01",0.0338294245,0.8507718444,0.1154093817,0.2259688675,469
"2021-12-01 17:12:00",0.0351360142,0.8547433019,0.1101360172,0.2153515369,522
"2021-12-01 17:11:00",0.0449212268,0.8492363095,0.1058468297,0.1847008765,457
"2021-12-01 17:10:00",0.0322412290,0.8558179736,0.1119210497,0.2518756688,456
"2021-12-01 17:09:00",0.0320164599,0.8572325110,0.1107654348,0.2200792134,486
"2021-12-01 17:08:00",0.0294929575,0.8660945892,0.1044084504,0.2206758559,497
"2021-12-01 17:07:00",0.0283299796,0.8621408343,0.1095331982,0.2276818901,497
"2021-12-01 17:06:00",0.0407895893,0.8511062860,0.1081236452,0.2132878453,461
"2021-12-01 17:05:00",0.0299865473,0.8582219481,0.1117914766,0.2515112162,446
"2021-12-01 17:04:00",0.0332477279,0.8445159197,0.1222386360,0.2613177299,440
"2021-12-01 17:03:01",0.0337073170,0.8454593420,0.1208292693,0.2584386170,492
"2021-12-01 17:02:01",0.0342850797,0.8495790362,0.1161714941,0.2403380871,449
"2021-12-01 17:01:01",0.0329879038,0.8561854959,0.1108709648,0.2452397197,496
"2021-12-01 17:00:00",0.0353953503,0.8594684601,0.1051312312,0.2319254130,602
"2021-12-01 16:59:00",0.0396374390,0.8385331631,0.1218270138,0.2129883915,422
"2021-12-01 16:58:01",0.0393150114,0.8606384993,0.1000443995,0.1621507406,473
"2021-12-01 16:57:00",0.0426915511,0.8412455916,0.1160569713,0.1960461736,509
"2021-12-01 16:56:01",0.0307588503,0.8572079539,0.1120088473,0.2034648210,452
"2021-12-01 16:55:01",0.0250472967,0.8738580942,0.1010540575,0.2431587875,444
"2021-12-01 16:54:00",0.0292846709,0.8637785912,0.1069343090,0.2314773649,411
"2021-12-01 16:53:00",0.0327336565,0.8506948948,0.1165762693,0.2394854724,413
"2021-12-01 16:52:00",0.0316365846,0.8588390350,0.1095195115,0.2428529263,410
"2021-12-01 16:51:01",0.0393967889,0.8490321040,0.1115848646,0.2170763761,436
"2021-12-01 16:50:00",0.0409952141,0.8390957117,0.1198971272,0.2610947490,418
"2021-12-01 16:49:01",0.0364010558,0.8503166437,0.1132744029,0.2217538208,379
"2021-12-01 16:48:00",0.0362238437,0.8368077874,0.1269780993,0.2800009847,411
"2021-12-01 16:47:01",0.0387673862,0.8359592557,0.1252637953,0.2642827332,417
"2021-12-01 16:46:00",0.0451800004,0.8309075236,0.1239074990,0.2410812527,400
"2021-12-01 16:45:00",0.0297960527,0.8508618474,0.1193552613,0.2614429891,456
"2021-12-01 16:44:01",0.0395919383,0.8405692577,0.1198362708,0.2337604463,397
"2021-12-01 16:43:00",0.0323393680,0.8456380367,0.1219977364,0.2368420810,442
"2021-12-01 16:42:01",0.0405429862,0.8467352986,0.1127104089,0.2089531720,442
"2021-12-01 16:41:00",0.0392576680,0.8436707854,0.1170756668,0.2287255675,489
"2021-12-01 16:40:01",0.0396581404,0.8308139443,0.1295441836,0.2574920952,430
"2021-12-01 16:39:00",0.0472795181,0.8341831565,0.1185156628,0.2027857900,415
"2021-12-01 16:38:01",0.0397899561,0.8390182853,0.1211757958,0.2277305871,438
"2021-12-01 16:37:01",0.0349911489,0.8362986445,0.1286946833,0.2562506497,452
"2021-12-01 16:36:01",0.0340258628,0.8504827619,0.1154827550,0.2521200478,464
"2021-12-01 16:35:00",0.0350091532,0.8355629444,0.1294347793,0.2682796419,437
"2021-12-01 16:34:00",0.0334715657,0.8319218159,0.1346018910,0.2711969316,422
"2021-12-01 16:33:00",0.0379819125,0.8296537399,0.1323488355,0.2532137036,387
"2021-12-01 16:32:00",0.0350641012,0.8472461700,0.1176717952,0.2269330770,390
"2021-12-01 16:31:00",0.0350240394,0.8493485451,0.1156201959,0.2494406253,416
"2021-12-01 16:30:01",0.0356309526,0.8522642851,0.1120928600,0.2050833404,420
"2021-12-01 16:29:00",0.0358172059,0.8542204499,0.1099623665,0.2298357487,372
"2021-12-01 16:28:00",0.0340246558,0.8412164450,0.1247616410,0.2613115013,365
"2021-12-01 16:27:00",0.0384005234,0.8398402929,0.1217591614,0.2236973792,382
"2021-12-01 16:26:00",0.0356424749,0.8554166555,0.1089596748,0.2010021508,372
"2021-12-01 16:25:00",0.0394895598,0.8364849091,0.1240208820,0.2277025580,431
"2021-12-01 16:24:01",0.0314116105,0.8587546349,0.1098390520,0.2278963029,379
"2021-12-01 16:23:01",0.0382121950,0.8376317024,0.1241463423,0.2459404916,410
"2021-12-01 16:22:00",0.0410406962,0.8432005644,0.1157470942,0.2148386687,344
"2021-12-01 16:21:01",0.0402951650,0.8467608094,0.1129363850,0.1898910999,393
"2021-12-01 16:20:01",0.0386615396,0.8423256278,0.1190102547,0.2294933349,390
