dt,open,high,low,close,volume
"2021-11-30 09:24:00",58310.0585937500,58351.0000000000,58310.0507812500,58334.8593750000,18.7868003845
"2021-11-30 09:23:00",58310.0585937500,58310.0585937500,58310.0507812500,58310.0585937500,0.0517099984
"2021-11-30 09:22:00",58359.0390625000,58359.0390625000,58359.0312500000,58359.0390625000,0.1658200026
"2021-11-30 09:21:00",58340.0000000000,58365.9101562500,58279.1914062500,58329.0390625000,49.9192199707
"2021-11-30 09:20:00",58340.0000000000,58346.5585937500,58339.9882812500,58346.5585937500,0.7406700253
"2021-11-30 09:19:00",58154.5000000000,58187.8085937500,58130.0117187500,58169.3593750000,20.7738704681
"2021-11-30 09:18:00",58155.5585937500,58214.3593750000,58149.1210937500,58155.1718750000,18.6800994873
"2021-11-30 09:17:00",58194.6914062500,58233.2500000000,58120.8789062500,58155.5585937500,32.0256004333
"2021-11-30 09:16:00",58229.0195312500,58313.8906250000,58170.0000000000,58185.5390625000,74.7260971069
"2021-11-30 09:15:00",58350.0117187500,58350.0117187500,58209.6914062500,58229.0312500000,27.6097507477
"2021-11-30 09:14:00",58350.0117187500,58350.0117187500,58349.6484375000,58349.6601562500,0.7244799733
"2021-11-30 09:13:00",58390.3515625000,58396.6601562500,58390.3398437500,58390.3515625000,0.8194599748
"2021-11-30 09:12:00",58346.5507812500,58346.5585937500,58344.0781250000,58344.0781250000,0.7480700016
"2021-11-30 09:11:00",58199.0781250000,58323.3710937500,58194.2109375000,58233.0195312500,47.3665008545
"2021-11-30 09:10:00",58308.8515625000,58325.0000000000,58160.4882812500,58205.0195312500,32.3185806274
"2021-11-30 09:09:00",58308.8515625000,58325.0000000000,58308.8398437500,58309.5312500000,0.7655000091
"2021-11-30 09:08:00",58351.0000000000,58351.0000000000,58341.1015625000,58341.1015625000,1.1140300035
"2021-11-30 09:07:00",58358.4101562500,58358.4218750000,58355.8203125000,58358.4218750000,1.0530400276
"2021-11-30 09:06:00",58415.4414062500,58415.4492187500,58408.6796875000,58413.1601562500,0.5305699706
"2021-11-30 09:05:00",58393.0585937500,58393.0703125000,58386.1406250000,58393.0585937500,0.7268499732
"2021-11-30 09:04:00",58323.3906250000,58323.3984375000,58323.3906250000,58323.3906250000,0.0147200003
"2021-11-30 09:03:00",58402.5117187500,58402.5117187500,58391.9296875000,58396.2109375000,2.0447900295
"2021-11-30 09:02:00",58313.8398437500,58315.5117187500,58289.5312500000,58315.5117187500,2.1709001064
"2021-11-30 09:01:00",58283.2890625000,58283.8398437500,58271.5390625000,58276.1289062500,1.5257600546
"2021-11-30 09:00:00",58316.9101562500,58316.9101562500,58310.5781250000,58316.8789062500,1.5158499479
"2021-11-30 08:59:00",58182.6406250000,58272.8085937500,58179.7890625000,58254.0898437500,39.9336013794
"2021-11-30 08:58:00",58162.8906250000,58213.6484375000,58154.5898437500,58183.4492187500,31.4521903992
"2021-11-30 08:57:00",58138.4296875000,58190.0312500000,58102.6914062500,58186.8203125000,37.4456100464
"2021-11-30 08:56:00",58152.6601562500,58168.1484375000,58077.9804687500,58138.4296875000,49.0704612732
"2021-11-30 08:55:00",58123.9882812500,58183.1210937500,58123.9882812500,58152.7382812500,25.0832195282
